b' -3.68  Get AngleZ: 0.72\r\n'
b'Get AngleX: -0.45  Get AngleY: 35.63  Get AngleZ: 1.52\r\n'
b'Get AngleX: -0.34  Get AngleY: 37.53  Get AngleZ: 1.85\r\n'
b'Get AngleX: 2.39  Get AngleY: 51.76  Get AngleZ: 4.87\r\n'
b'Get AngleX: 2.86  Get AngleY: 53.23  Get AngleZ: 5.37\r\n'
b'Get AngleX: 3.51  Get AngleY: 57.24  Get AngleZ: 5.14\r\n'
b'Get AngleX: 3.25  Get AngleY: 57.75  Get AngleZ: 4.27\r\n'
b'Get AngleX: 2.23  Get AngleY: 58.37  Get AngleZ: 2.91\r\n'
b'Get AngleX: 1.68  Get AngleY: 58.54  Get AngleZ: 2.45\r\n'
b'Get AngleX: 0.54  Get AngleY: 58.89  Get AngleZ: 1.76\r\n'
b'Get AngleX: -0.02  Get AngleY: 59.02  Get AngleZ: 1.68\r\n'
b'Get AngleX: -3.87  Get AngleY: 58.76  Get AngleZ: 1.03\r\n'
b'Get AngleX: -8.42  Get AngleY: 56.90  Get AngleZ: 0.99\r\n'
b'Get AngleX: -13.39  Get AngleY: 54.20  Get AngleZ: 1.24\r\n'
b'Get AngleX: -20.58  Get AngleY: 52.24  Get AngleZ: 1.94\r\n'
b'Get AngleX: -21.79  Get AngleY: 51.94  Get AngleZ: 2.09\r\n'
b'Get AngleX: -26.98  Get AngleY: 49.55  Get AngleZ: 3.10\r\n'
b'Get AngleX: -33.38  Get AngleY: 47.71  Get AngleZ: 6.95\r\n'
b'Get AngleX: -33.91  Get AngleY: 48.72  Get AngleZ: 7.86\r\n'
b'Get AngleX: -38.66  Get AngleY: 48.91  Get AngleZ: 8.52\r\n'
b'Get AngleX: -39.10  Get AngleY: 50.81  Get AngleZ: 11.03\r\n'
b'Get AngleX: -41.86  Get AngleY: 50.65  Get AngleZ: 10.28\r\n'
b'Get AngleX: -49.35  Get AngleY: 48.81  Get AngleZ: 12.99\r\n'
b'Get AngleX: -52.27  Get AngleY: 49.36  Get AngleZ: 14.08\r\n'
b'Get AngleX: -52.87  Get AngleY: 50.12  Get AngleZ: 14.38\r\n'
b'Get AngleX: -55.40  Get AngleY: 53.74  Get AngleZ: 16.61\r\n'
b'Get AngleX: -52.23  Get AngleY: 50.72  Get AngleZ: 15.12\r\n'
b'Get AngleX: -49.93  Get AngleY: 50.88  Get AngleZ: 17.77\r\n'
b'Get AngleX: -52.74  Get AngleY: 49.73  Get AngleZ: 23.05\r\n'
b'Get AngleX: -51.99  Get AngleY: 50.19  Get AngleZ: 23.89\r\n'
b'Get AngleX: -50.14  Get AngleY: 49.56  Get AngleZ: 25.33\r\n'
b'Get AngleX: -49.07  Get AngleY: 47.15  Get AngleZ: 31.53\r\n'
b'Get AngleX: -43.45  Get AngleY: 51.53  Get AngleZ: 35.38\r\n'
b'Get AngleX: -42.94  Get AngleY: 52.86  Get AngleZ: 35.86\r\n'
b'Get AngleX: -41.48  Get AngleY: 56.48  Get AngleZ: 40.96\r\n'
b'Get AngleX: -41.03  Get AngleY: 55.91  Get AngleZ: 43.58\r\n'
b'Get AngleX: -40.79  Get AngleY: 56.95  Get AngleZ: 46.86\r\n'
b'Get AngleX: -37.55  Get AngleY: 66.54  Get AngleZ: 53.31\r\n'
b'Get AngleX: -37.47  Get AngleY: 67.94  Get AngleZ: 52.48\r\n'
b'Get AngleX: -39.52  Get AngleY: 70.44  Get AngleZ: 52.74\r\n'
b'Get AngleX: -42.80  Get AngleY: 71.86  Get AngleZ: 52.02\r\n'
b'Get AngleX: -47.30  Get AngleY: 79.39  Get AngleZ: 39.98\r\n'
b'Get AngleX: -50.89  Get AngleY: 79.91  Get AngleZ: 33.34\r\n'
b'Get AngleX: -51.75  Get AngleY: 80.35  Get AngleZ: 32.34\r\n'
b'Get AngleX: -52.37  Get AngleY: 80.64  Get AngleZ: 30.24\r\n'
b'Get AngleX: -57.19  Get AngleY: 79.71  Get AngleZ: 29.31\r\n'
b'Get AngleX: -56.39  Get AngleY: 80.36  Get AngleZ: 31.33\r\n'
b'Get AngleX: -56.98  Get AngleY: 79.16  Get AngleZ: 32.52\r\n'
b'Get AngleX: -58.12  Get AngleY: 76.97  Get AngleZ: 33.19\r\n'
b'Get AngleX: -59.18  Get AngleY: 75.05  Get AngleZ: 33.78\r\n'
b'Get AngleX: -61.34  Get AngleY: 74.90  Get AngleZ: 37.70\r\n'
b'Get AngleX: -60.13  Get AngleY: 77.02  Get AngleZ: 36.94\r\n'
b'Get AngleX: -58.51  Get AngleY: 78.04  Get AngleZ: 37.52\r\n'
b'Get AngleX: -57.84  Get AngleY: 78.57  Get AngleZ: 37.49\r\n'
b'Get AngleX: -56.92  Get AngleY: 82.81  Get AngleZ: 36.06\r\n'
b'Get AngleX: -40.80  Get AngleY: 85.70  Get AngleZ: 36.93\r\n'
