b'Get AngleX: 34.81  Get AngleY: 67.93  Get AngleZ: -66.56\r\n'
b'Get AngleX: 35.37  Get AngleY: 67.58  Get AngleZ: -65.88\r\n'
b'Get AngleX: 35.28  Get AngleY: 67.63  Get AngleZ: -65.71\r\n'
b'Get AngleX: 35.44  Get AngleY: 67.57  Get AngleZ: -65.43\r\n'
b'Get AngleX: 35.78  Get AngleY: 67.60  Get AngleZ: -64.43\r\n'
b'Get AngleX: 35.94  Get AngleY: 67.60  Get AngleZ: -64.27\r\n'
b'Get AngleX: 36.06  Get AngleY: 67.52  Get AngleZ: -63.74\r\n'
b'Get AngleX: 35.72  Get AngleY: 67.04  Get AngleZ: -63.67\r\n'
b'Get AngleX: 35.48  Get AngleY: 66.85  Get AngleZ: -63.76\r\n'
b'Get AngleX: 35.37  Get AngleY: 66.78  Get AngleZ: -63.80\r\n'
b'Get AngleX: 35.08  Get AngleY: 66.39  Get AngleZ: -64.07\r\n'
b'Get AngleX: 34.43  Get AngleY: 66.36  Get AngleZ: -64.31\r\n'
b'Get AngleX: 33.45  Get AngleY: 66.74  Get AngleZ: -64.53\r\n'
b'Get AngleX: 33.27  Get AngleY: 66.86  Get AngleZ: -64.55\r\n'
b'Get AngleX: 32.89  Get AngleY: 67.08  Get AngleZ: -64.25\r\n'
b'Get AngleX: 32.83  Get AngleY: 67.13  Get AngleZ: -64.22\r\n'
b'Get AngleX: 33.00  Get AngleY: 67.24  Get AngleZ: -64.26\r\n'
b'Get AngleX: 33.18  Get AngleY: 67.34  Get AngleZ: -64.31\r\n'
b'Get AngleX: 31.19  Get AngleY: 65.60  Get AngleZ: -64.29\r\n'
b'Get AngleX: 29.59  Get AngleY: 65.35  Get AngleZ: -64.54\r\n'
b'Get AngleX: 27.64  Get AngleY: 64.37  Get AngleZ: -62.24\r\n'
b'Get AngleX: 29.17  Get AngleY: 64.00  Get AngleZ: -62.22\r\n'
b'Get AngleX: 35.64  Get AngleY: 65.48  Get AngleZ: -60.73\r\n'
b'Get AngleX: 42.38  Get AngleY: 68.95  Get AngleZ: -60.72\r\n'
b'Get AngleX: 42.16  Get AngleY: 70.84  Get AngleZ: -60.18\r\n'
b'Get AngleX: 43.58  Get AngleY: 70.69  Get AngleZ: -59.99\r\n'
b'Get AngleX: 44.89  Get AngleY: 69.98  Get AngleZ: -65.08\r\n'
b'Get AngleX: 40.82  Get AngleY: 71.38  Get AngleZ: -68.81\r\n'
b'Get AngleX: 40.93  Get AngleY: 70.50  Get AngleZ: -70.77\r\n'
b'Get AngleX: 38.69  Get AngleY: 70.55  Get AngleZ: -70.93\r\n'
b'Get AngleX: 36.65  Get AngleY: 71.94  Get AngleZ: -71.73\r\n'
b'Get AngleX: 37.53  Get AngleY: 73.03  Get AngleZ: -72.32\r\n'
b'Get AngleX: 38.02  Get AngleY: 73.80  Get AngleZ: -72.61\r\n'
b'Get AngleX: 36.45  Get AngleY: 69.39  Get AngleZ: -85.94\r\n'
b'Get AngleX: 32.69  Get AngleY: 68.24  Get AngleZ: -86.92\r\n'
b'Get AngleX: 30.32  Get AngleY: 67.98  Get AngleZ: -88.03\r\n'
b'Get AngleX: 20.49  Get AngleY: 72.53  Get AngleZ: -86.75\r\n'
